distrito,departamento
Armstrong,Belgrano
Bouquet,Belgrano
Bouquet,Belgrano
Las Rosas,Belgrano
Las Parejas,Belgrano
Las Rosas,Belgrano
Montes De Oca,Belgrano
Tortugas,Belgrano
Arequito,Caseros
Arteaga,Caseros
Berabevú,Caseros
Bigand,Caseros
Casilda,Caseros
Chabás,Caseros
Chañar Ladeado,Caseros
Chañar Ladeado,Caseros
Godeken,Caseros
Los Quirquinchos,Caseros
Arequito,Caseros
Los Molinos,Caseros
San José De La Esquina,Caseros
Los Quirquinchos,Caseros
Los Quirquinchos,Caseros
San José De La Esquina,Caseros
Sanford,Caseros
Villada,Caseros
Aldao,Castellanos
Angélica,Castellanos
Ataliva,Castellanos
Aurelia Sur,Castellanos
Aurelia Sur,Castellanos
Bauer Y Sigel,Castellanos
Bella Italia,Castellanos
Sunchales,Castellanos
Egusquiza,Castellanos
Aldao,Castellanos
Castellanos,Castellanos
Clucellas,Castellanos
Colonia Bicha,Castellanos
Colonia Bigand,Castellanos
Colonia Cello,Castellanos
Colonia Fidela,Castellanos
Colonia Iturraspe,Castellanos
Colonia Margarita,Castellanos
Colonia Mauá,Castellanos
Colonia Raquel,Castellanos
Coronel Fraga,Castellanos
Egusquiza,Castellanos
Sunchales,Castellanos
Esmeralda,Castellanos
Estación Clucellas,Castellanos
Colonia Cello,Castellanos
Frontera,Castellanos
Zenón Pereyra,Castellanos
María Juana,Castellanos
Presidente Roca,Castellanos
Saguier,Castellanos
Eusebia,Castellanos
Eustolia,Castellanos
Frontera,Castellanos
Galisteo,Castellanos
Garibaldi,Castellanos
Hugentobler,Castellanos
Humberto 1º,Castellanos
Josefina,Castellanos
Garibaldi,Castellanos
Angélica,Castellanos
Rafaela,Castellanos
Lehmann,Castellanos
San Vicente,Castellanos
San Vicente,Castellanos
María Juana,Castellanos
Lehmann,Castellanos
Presidente Roca,Castellanos
Pueblo Marini,Castellanos
Pueblo San Antonio,Castellanos
Rafaela,Castellanos
Ramona,Castellanos
Saguier,Castellanos
San Vicente,Castellanos
Santa Clara De Saguier,Castellanos
Sunchales,Castellanos
Susana,Castellanos
Tacural,Castellanos
Tacurales,Castellanos
Vila,Castellanos
Villa San José,Castellanos
Virginia,Castellanos
Zenón Pereyra,Castellanos
Alcorta,Constitución
Bombal,Constitución
Cañada Rica,Constitución
Cepeda,Constitución
Empalme Villa Constitución,Constitución
Santa Teresa,Constitución
General Gelly,Constitución
Godoy,Constitución
Juan B. Molina,Constitución
Juncal,Constitución
La Vanguardia,Constitución
Máximo Paz,Constitución
Godoy,Constitución
Pavón,Constitución
Pavón Arriba,Constitución
Peyrano,Constitución
Rueda,Constitución
Santa Teresa,Constitución
Sargento Cabral,Constitución
Cepeda,Constitución
Theobald,Constitución
Villa Constitución,Constitución
Helvecia,Garay
Cayastá,Garay
Colonia Mascias,Garay
Colonia Mascias,Garay
Helvecia,Garay
Saladero Cabal,Garay
Helvecia,Garay
Saladero Cabal,Garay
Helvecia,Garay
Cayastá,Garay
Santa Rosa,Garay
Saladero Cabal,Garay
Santa Rosa,Garay
Elortondo,General López
Aarón Castellanos (Est. Castellanos),General López
Amenábar,General López
Caferata,General López
Christophersen,General López
Cañada del Ucle,General López
Carmen,General López
Carreras,General López
Chapuy,General López
Chovet,General López
Christophersen,General López
Rufino,General López
Diego De Alvear,General López
Pueblo Miguel Torres,General López
Caferata,General López
Elortondo,General López
Elortondo,General López
Teodelina,General López
Firmat,General López
Firmat,General López
Hughes,General López
La Chispa,General López
Labordeboy,General López
Lazzarino,General López
Maggiolo,General López
María Teresa,General López
Melincué,General López
Wheelwright,General López
Murphy,General López
Pueblo Miguel Torres,General López
Santa Isabel,General López
Rufino,General López
Santa Isabel,General López
San Eduardo,General López
San Francisco De Santa Fe,General López
San Gregorio,General López
Sancti Spiritu,General López
Elortondo,General López
Santa Isabel,General López
Rufino,General López
Teodelina,General López
Venado Tuerto,General López
Villa Cañás,General López
Chovet,General López
Labordeboy,General López
Wheelwright,General López
Arroyo Ceibal,General Obligado
Villa Guillermina,General Obligado
Avellaneda,General Obligado
Berna,General Obligado
Reconquista,General Obligado
El Arazá,General Obligado
Avellaneda,General Obligado
El Rabón,General Obligado
Berna,General Obligado
El Sombrerito,General Obligado
Avellaneda,General Obligado
Villa Ocampo,General Obligado
Avellaneda,General Obligado
Villa Ana,General Obligado
Lanteri,General Obligado
Florencia,General Obligado
Guadalupe Norte,General Obligado
Villa Ana,General Obligado
El Rabón,General Obligado
Ingeniero Chanourdie,General Obligado
Villa Ocampo,General Obligado
Ingeniero Chanourdie,General Obligado
Tacuarendí,General Obligado
Villa Guillermina,General Obligado
Villa Ana,General Obligado
Reconquista,General Obligado
Berna,General Obligado
Los Laureles,General Obligado
Reconquista,General Obligado
Nicanor E. Molinas,General Obligado
Villa Ana,General Obligado
La Sarita,General Obligado
La Sarita,General Obligado
La Sarita,General Obligado
Lanteri,General Obligado
Berna,General Obligado
Las Garzas,General Obligado
Los Laureles,General Obligado
Las Toscas,General Obligado
Los Laureles,General Obligado
Malabrigo,General Obligado
Villa Ana,General Obligado
Nicanor E. Molinas,General Obligado
Ingeniero Chanourdie,General Obligado
Lanteri,General Obligado
La Sarita,General Obligado
La Sarita,General Obligado
La Sarita,General Obligado
Lanteri,General Obligado
Villa Ocampo,General Obligado
El Rabón,General Obligado
El Rabón,General Obligado
Reconquista,General Obligado
Villa Guillermina,General Obligado
Reconquista,General Obligado
San Antonio De Obligado,General Obligado
La Sarita,General Obligado
Villa Ocampo,General Obligado
Avellaneda,General Obligado
Tacuarendí,General Obligado
Ingeniero Chanourdie,General Obligado
Ingeniero Chanourdie,General Obligado
La Sarita,General Obligado
Villa Ocampo,General Obligado
Villa Ana,General Obligado
Villa Guillermina,General Obligado
Villa Ocampo,General Obligado
Las Toscas,General Obligado
Andino,Iriondo
Correa,Iriondo
Bustinza,Iriondo
Cañada De Gómez,Iriondo
Carrizales,Iriondo
Clason,Iriondo
Salto Grande,Iriondo
Totoras,Iriondo
Correa,Iriondo
Totoras,Iriondo
Cañada De Gómez,Iriondo
Lucio V. López,Iriondo
Oliveros,Iriondo
Salto Grande,Iriondo
Villa Eloísa,Iriondo
Villa Eloísa,Iriondo
Totoras,Iriondo
Serodino,Iriondo
Totoras,Iriondo
Villa Eloísa,Iriondo
Santa Fe,La Capital
Monte Vera,La Capital
Arroyo Aguiar,La Capital
Llambi Campbell,La Capital
Llambi Campbell,La Capital
Arroyo Aguiar,La Capital
Arroyo Leyes,La Capital
Monte Vera,La Capital
Cabal,La Capital
Campo Andino,La Capital
Candioti,La Capital
Santa Fe,La Capital
Santa Fe,La Capital
Arroyo Aguiar,La Capital
Emilia,La Capital
Cabal,La Capital
Emilia,La Capital
Nelson,La Capital
Santa Fe,La Capital
Laguna Paiva,La Capital
Llambi Campbell,La Capital
Llambi Campbell,La Capital
Nelson,La Capital
Monte Vera,La Capital
Nelson,La Capital
Recreo,La Capital
Arroyo Leyes,La Capital
San José Del Rincón,La Capital
Arroyo Aguiar,La Capital
Santa Fe,La Capital
Santo Tomé,La Capital
Sauce Viejo,La Capital
Arroyo Aguiar,La Capital
Elisa,Las Colonias
Colonia Cavour,Las Colonias
Colonia Ituzaingó,Las Colonias
Humboldt,Las Colonias
Esperanza,Las Colonias
Soutomayor,Las Colonias
San Carlos Centro,Las Colonias
Colonia San José,Las Colonias
Cululú,Las Colonias
Elisa,Las Colonias
Empalme San Carlos,Las Colonias
Esperanza,Las Colonias
Felicia,Las Colonias
Franck,Las Colonias
Grutly Sur,Las Colonias
Grutly Sur,Las Colonias
Hipatia,Las Colonias
Humboldt,Las Colonias
Sarmiento,Las Colonias
Jacinto L.  Aráuz,Las Colonias
La Pelada,Las Colonias
Las Tunas,Las Colonias
Sarmiento,Las Colonias
Elisa,Las Colonias
María Luisa,Las Colonias
Matilde,Las Colonias
Nuevo Torino,Las Colonias
Pilar,Las Colonias
Matilde,Las Colonias
Progreso,Las Colonias
Providencia,Las Colonias
Cululú,Las Colonias
Pujato Norte,Las Colonias
Rivadavia,Las Colonias
Sa Pereira,Las Colonias
San Agustín,Las Colonias
San Carlos Centro,Las Colonias
San Carlos Norte,Las Colonias
San Carlos Sud,Las Colonias
San Jerónimo Del Sauce,Las Colonias
San Jerónimo Norte,Las Colonias
San Mariano,Las Colonias
San Jerónimo Norte,Las Colonias
Santa Clara De Buena Vista,Las Colonias
Santa María Centro,Las Colonias
Santa María Norte,Las Colonias
Santo Domingo,Las Colonias
Sarmiento,Las Colonias
Soutomayor,Las Colonias
Sarmiento,Las Colonias
Tostado,Nueve de Julio
Campo Garay (Juan de Garay),Nueve de Julio
San Bernardo,Nueve de Julio
Villa Minetti,Nueve de Julio
Villa Minetti,Nueve de Julio
Villa Minetti,Nueve de Julio
Villa Minetti,Nueve de Julio
Campo Garay (Juan de Garay),Nueve de Julio
Esteban Rams,Nueve de Julio
Santa Margarita,Nueve de Julio
Logroño,Nueve de Julio
Villa Minetti,Nueve de Julio
San Bernardo,Nueve de Julio
Tostado,Nueve de Julio
Esteban Rams,Nueve de Julio
Logroño,Nueve de Julio
Tostado,Nueve de Julio
Gato Colorado,Nueve de Julio
Tostado,Nueve de Julio
Gato Colorado,Nueve de Julio
Gregoria P. De Denis,Nueve de Julio
Logroño,Nueve de Julio
San Bernardo,Nueve de Julio
Logroño,Nueve de Julio
Gregoria P. De Denis,Nueve de Julio
Gregoria P. De Denis,Nueve de Julio
San Bernardo,Nueve de Julio
Logroño,Nueve de Julio
Tostado,Nueve de Julio
Tostado,Nueve de Julio
Montefiore,Nueve de Julio
Esteban Rams,Nueve de Julio
Villa Minetti,Nueve de Julio
San Bernardo,Nueve de Julio
Tostado,Nueve de Julio
Pozo Borrado,Nueve de Julio
Santa Margarita,Nueve de Julio
San Bernardo,Nueve de Julio
Santa Margarita,Nueve de Julio
Tostado,Nueve de Julio
Gregoria P. De Denis,Nueve de Julio
Tostado,Nueve de Julio
Villa Minetti,Nueve de Julio
Acebal,Rosario
Albarellos,Rosario
Rosario,Rosario
Álvarez,Rosario
Alvear,Rosario
Arminda,Rosario
Arroyo Seco,Rosario
Carmen Del Sauce,Rosario
Coronel Bogado,Rosario
Coronel Domínguez,Rosario
Fighiera,Rosario
Funes,Rosario
General Lagos,Rosario
Granadero Baigorria,Rosario
Ibarlucea,Rosario
Piñero,Rosario
Piñero,Rosario
Villa Amelia,Rosario
Pérez,Rosario
Piñero,Rosario
Pueblo Esther,Rosario
Pueblo Muñoz,Rosario
Pueblo Uranga,Rosario
Rosario,Rosario
Soldini,Rosario
Villa Amelia,Rosario
Pueblo Uranga,Rosario
Álvarez,Rosario
Villa Gobernador Gálvez,Rosario
Villa Gobernador Gálvez,Rosario
Zavalla,Rosario
Aguará Grande,San Cristóbal
Ambrosetti,San Cristóbal
Arrufó,San Cristóbal
Capivara,San Cristóbal
Ceres,San Cristóbal
Colonia Ana,San Cristóbal
Colonia Bossi,San Cristóbal
Colonia Dos Rosas,San Cristóbal
Colonia La Clara,San Cristóbal
Colonia Rosa,San Cristóbal
Moisés Ville,San Cristóbal
Constanza,San Cristóbal
Curupaity,San Cristóbal
Huanqueros,San Cristóbal
Aguará Grande,San Cristóbal
Capivara,San Cristóbal
Hersilia,San Cristóbal
Huanqueros,San Cristóbal
La Cabral,San Cristóbal
La Lucila,San Cristóbal
La Rubia,San Cristóbal
Las Avispas,San Cristóbal
Las Palmeras,San Cristóbal
Villa Saralegui,San Cristóbal
Moisés Ville,San Cristóbal
Monigotes,San Cristóbal
Monte Oscuridad,San Cristóbal
Ñanducita,San Cristóbal
Palacios,San Cristóbal
Ambrosetti,San Cristóbal
Villa Saralegui,San Cristóbal
Portugalete,San Cristóbal
Villa Saralegui,San Cristóbal
Suardi,San Cristóbal
San Cristóbal,San Cristóbal
San Guillermo,San Cristóbal
Santurce,San Cristóbal
Soledad,San Cristóbal
Suardi,San Cristóbal
Villa Saralegui,San Cristóbal
Villa Trinidad,San Cristóbal
Alejandra,San Javier
Cacique Ariacaiquín,San Javier
Colonia Durán,San Javier
San Javier,San Javier
Romang,San Javier
San Javier,San Javier
Colonia Teresa,San Javier
Romang,San Javier
Alejandra,San Javier
La Brava,San Javier
Alejandra,San Javier
San Javier,San Javier
Alejandra,San Javier
Alejandra,San Javier
Alejandra,San Javier
Colonia Durán,San Javier
Romang,San Javier
San Javier,San Javier
Arocena,San Jerónimo
Barrancas,San Jerónimo
Bernardo de Irigoyen (Est. Irigoyen),San Jerónimo
Campo Piaggio,San Jerónimo
Casalegno,San Jerónimo
Centeno,San Jerónimo
Coronda,San Jerónimo
Desvío Arijón,San Jerónimo
Estación Díaz,San Jerónimo
Gaboto,San Jerónimo
Gálvez,San Jerónimo
Gessler,San Jerónimo
Irigoyen,San Jerónimo
Desvío Arijón,San Jerónimo
Larrechea,San Jerónimo
Loma Alta,San Jerónimo
López,San Jerónimo
Maciel,San Jerónimo
Monje,San Jerónimo
Gessler,San Jerónimo
Barrancas,San Jerónimo
San Eugenio,San Jerónimo
San Fabián,San Jerónimo
San Genaro,San Jerónimo
Angeloni,San Justo
San Justo,San Justo
Cayastacito,San Justo
Colonia Dolores,San Justo
La Penca y Caraguatá,San Justo
Vera Y Pintado,San Justo
Esther,San Justo
Gobernador Crespo,San Justo
San Justo,San Justo
La Criolla,San Justo
La Camila,San Justo
La Criolla,San Justo
La Penca y Caraguatá,San Justo
Angeloni,San Justo
Marcelino Escalada,San Justo
Naré,San Justo
Naré,San Justo
San Justo,San Justo
La Penca y Caraguatá,San Justo
Pedro Gómez Cello,San Justo
Ramayón,San Justo
San Bernardo,San Justo
San Justo,San Justo
San Martín Norte,San Justo
Silva,San Justo
San Justo,San Justo
Vera Y Pintado,San Justo
Videla,San Justo
Aldao,San Lorenzo
Puerto San Martin,San Lorenzo
Capitán Bermúdez,San Lorenzo
Carcarañá,San Lorenzo
Coronel Arnold,San Lorenzo
Ricardone,San Lorenzo
Fray Luis Beltrán,San Lorenzo
Fuentes,San Lorenzo
Timbúes,San Lorenzo
Luis Palacios,San Lorenzo
Villa Mugueta,San Lorenzo
Puerto San Martin,San Lorenzo
Pujato,San Lorenzo
Ricardone,San Lorenzo
Roldán,San Lorenzo
San Jerónimo Sur,San Lorenzo
San Lorenzo,San Lorenzo
Timbúes,San Lorenzo
Villa Mugueta,San Lorenzo
Cañada Rosquín,San Martín
Carlos Pellegrini,San Martín
Casas,San Martín
Castelar,San Martín
Colonia Belgrano,San Martín
Crispi,San Martín
Crispi,San Martín
El Trébol,San Martín
San Martín De Las Escobas,San Martín
Sastre,San Martín
Landeta,San Martín
Las Bandurrias,San Martín
Las Petacas,San Martín
Los Cardos,San Martín
María Susana,San Martín
Piamonte,San Martín
San Jorge,San Martín
San Martín De Las Escobas,San Martín
Sastre,San Martín
Landeta,San Martín
Traill,San Martín
Colonia Belgrano,San Martín
Calchaquí,Vera
Cañada Ombú,Vera
Vera,Vera
Intiyaco,Vera
Toba,Vera
Vera,Vera
Vera,Vera
Toba,Vera
Garabato,Vera
Fortín Olmos,Vera
Vera,Vera
Vera,Vera
Fortín Olmos,Vera
Fortín Olmos,Vera
Fortín Olmos,Vera
Fortín Olmos,Vera
Fortín Olmos,Vera
Toba,Vera
Garabato,Vera
Golondrina,Vera
Toba,Vera
Intiyaco,Vera
Garabato,Vera
Garabato,Vera
Garabato,Vera
Intiyaco,Vera
Calchaquí,Vera
Toba,Vera
Golondrina,Vera
Cañada Ombú,Vera
Los Amores,Vera
Fortín Olmos,Vera
Fortín Olmos,Vera
La Gallareta,Vera
Fortín Olmos,Vera
Garabato,Vera
Vera,Vera
Los Amores,Vera
Intiyaco,Vera
Golondrina,Vera
Margarita,Vera
Vera,Vera
Fortín Olmos,Vera
La Gallareta,Vera
Intiyaco,Vera
Toba,Vera
Toba,Vera
Fortín Olmos,Vera
Garabato,Vera
Vera,Vera
Vera,Vera
Tartagal,Vera
Toba,Vera
Vera,Vera
