localidad,departamento
Armstrong,Belgrano
Campo la Riviere,Belgrano
Campo Santa Isabel,Belgrano
Las Parejas,Belgrano
Caseros,Caseros
Castellanos,Castellanos
Castellanos Rafaela,Castellanos
Colonia Bella Italia,Castellanos
El Bayo,Castellanos
Fassi,Castellanos
Pueblo Terragni,Castellanos
Sierra Pereyra,Castellanos
Tres Colonias,Castellanos
HUGENTOBLER Castellanos,Castellanos
José Manuel Estrada,Castellanos
Estación José Manuel Estrada,Castellanos
Campo Clucellas,Castellanos
Campo Romero,Castellanos
Campo Zurbriggen,Castellanos
Estacion Clucellas,Castellanos
Eustolia,Castellanos
Kilometro 113,Castellanos
Km 113,Castellanos
Plaza Clucellas,Castellanos
Esmeralda,Castellanos
Kilometro 465,Castellanos
Km 465,Castellanos
Kilometro 483,Castellanos
Km 465,Castellanos
Traill,Castellanos
Alcorta,Constitución
Garay,Garay
Amenábar,General López
Boca P 25,General López
Chateaubriand,General López
Estacion Teodelina,General López
Rabiola,General López
San Marcos de Venado Tuerto,General López
Venado Tuerto,General López
Estación Rastreador Fournier,General López
Rastreador Fournier,General López
OTTO BEMBERG,General López
SANTA TERESA - GENERAL LOPEZ,General López
SANTA TERESA,General López
MARIA TERESA - GENERAL LOPEZ,General López
MARIA TERESA,General López
Arroyo Ceibal,General Obligado
Campo Grande,General Obligado
Campo Siete Provincias,General Obligado
Distrito 3 Isletas,General Obligado
El Ceibalito,General Obligado
El Tapialito,General Obligado
Flor de Oro,General Obligado
Ingeniero Chanourdie,General Obligado
Lanteri,General Obligado
Las Siete Provincias,General Obligado
Los Lapachos,General Obligado
Santa Ana,General Obligado
Kilometro 23,General Obligado
Km 23,General Obligado
El Carmen de Avellaneda,General Obligado
El Timbo,General Obligado
Ewald,General Obligado
La Vanguardia,General Obligado
Moussy,General Obligado
Campo Horquesco,Iriondo
Colonia Medici,Iriondo
Larguia,Iriondo
Totoras,Iriondo
Cañada de Gomez,Iriondo
Cicarelli,Iriondo
Barrio Cicarelli,Iriondo
Las Trojas,Iriondo
Villa la Ribera,Iriondo
Adelina,La Capital
Alto Verde,La Capital
Arroyo Leyes,La Capital
Santa Fe,La Capital
Sauce Viejo,La Capital
Cayasta,La Capital
Capital,La Capital
Santa Fe de la Vera Cruz,La Capital
Capital Santa Fe,La Capital
Santa Fe Capital,La Capital
Campo Santo Domingo,La Capital
Kilometro 41,La Capital
KILOMETRO 41 - LA CAPITAL,La Capital
Km 41 Capital,La Capital
KM  41 - LA CAPITAL,La Capital
Kilometro 49 Capital,La Capital
Km 49 Capital,La Capital
KM  49 - LA CAPITAL,La Capital
KILOMETRO 49 - LA CAPITAL,La Capital
Laguna Paiva,La Capital
Reynaldo Cullen,La Capital
San Guillermo,La Capital
Barranquitas,La Capital
Kilometro 9,La Capital
Km 9,La Capital
Kilometro 95,La Capital
Km 95,La Capital
Piquete,La Capital
Pueblo Candioti,La Capital
Villa Don Bosco,La Capital
Villa Maria Selva,La Capital
Villa Yapeyu,La Capital
Nueva Pompeya,La Capital
POMPEYA,La Capital
RUINAS SANTA FE LA VIEJA,La Capital
SANTA FE LA VIEJA,La Capital
SETUBAL,La Capital
Jacinto L. Arauz,Las Colonias
Arauz,Las Colonias
Santo Domingo,Las Colonias
Cavour,Las Colonias
Colonia la Nueva,Las Colonias
Humboldt,Las Colonias
Humboldt Chico,Las Colonias
Rivadavia,Las Colonias
Ituzaingó,Las Colonias
KILOMETRO 421 - 9 DE JULIO,Nueve de Julio
Km 421 – 9 de julio,Nueve de Julio
Aero Club,Rosario
Aero Club Rosario,Rosario
LA CERAMICA Y CUYO,Rosario
Arroyo Seco,Rosario
Arroyoseco,Rosario
Arroyito,Rosario
Arroyo,Rosario
22 de Mayo,Rosario
Coronel Aguirre,Rosario
Pueblo Nuevo,Rosario
Villa San Diego,Rosario
PAGANINI,Rosario
Granadero Baigorria,Rosario
Achaval Rodriguez,San Cristóbal
Arrufo,San Cristóbal
Estancia San Francisco,San Cristóbal
Hugentobler,San Cristóbal
Huanqueros,San Cristóbal
Kilometro 235,San Cristóbal
Km 235,San Cristóbal
La Verde,San Cristóbal
Laguna Verde,San Cristóbal
SAN GUILLERMO - SAN CRISTOBAL,San Cristóbal
San Guillermo,San Cristóbal
Bealistock,San Cristóbal
Bossi,San Cristóbal
Las Palmeras,San Cristóbal
Palacios,San Cristóbal
Zadockhan,San Cristóbal
Dho,San Cristóbal
El Aguara,San Cristóbal
Los Molles,San Cristóbal
San Cristobal,San Cristóbal
Alejandra,San Javier
Arocena,San Jerónimo
Diaz,San Jerónimo
Carcel de Coronda,San Lorenzo
Carcel Modelo Coronda,San Lorenzo
Abipones,San Justo
Estacion Abipones,San Justo
Asuncion Maria,San Justo
Avichuncho,San Justo
Esquina Grande,San Justo
Estancia la Constancia,San Justo
Estancia Prusia,San Justo
La Capilla,San Justo
Vera Mujica,San Justo
Fray Luis Beltran,San Lorenzo
Puerto Borghi,San Lorenzo
Borghi,San Lorenzo
Arsenal de Guerra San Lorenzo,San Lorenzo
Fabrica Militar San Lorenzo,San Lorenzo
Granaderos,San Lorenzo
Villa Garibaldi,San Lorenzo
Villa Margarita,San Lorenzo
Timbues,San Lorenzo
Timbues Jose Maria,San Lorenzo
Jesus Maria,San Lorenzo
Campo Medina,San Lorenzo
Ibarlucea,San Lorenzo
Kilometro 323,San Lorenzo
Km 323,San Lorenzo
La Salada,San Lorenzo
Lucio V Lopez,San Lorenzo
Luis Palacios,San Lorenzo
Salto Grande,San Lorenzo
Vicente Echevarria,San Lorenzo
Sastre,San Martín
Kilometro 465,San Martín
Km 465,San Martín
Campo Faggiano,San Martín
Barrio Belgrano Ortiz,San Martín
Cañada Rosquin,San Martín
Kilometro 443,San Martín
Km 443,San Martín
El Trebol,San Martín
Tais,San Martín
Campo Coubert,Vera
Colonia la Maria,Vera
Colonia la Nicolasa,Vera
Espin,Vera
La Guampita,Vera
Margarita,Vera
Campo Monte la Viruela,Vera
Cañada Ombu,Vera
Colmena,Vera
Desvio Kilometro 282,Vera
Desvio Km 282,Vera
Desvio Kilometro 392,Vera
Desvio Km 392,Vera
Garabato,Vera
Golondrina,Vera
Guaycuru,Vera
Intiyaco,Vera
Kilometro 302,Vera
Km 302,Vera
Kilometro 320,Vera
Km 320,Vera
Kilometro 392,Vera
Km 392,Vera
Kilometro 49 Vera,Vera
Km 49 Vera,Vera
La Blanca,Vera
La Selva,Vera
La Zulema,Vera
Las Delicias,Vera
Los Amores,Vera
Los Claros,Vera
Los Leones,Vera
Los Tabanos Desvio Km 366,Vera
Los Tabanos Desvio Kilometro 366,Vera
Ogilvie,Vera
Paraje Tragnaghi,Vera
Pozo de los Indios,Vera
Pueblo Golondrina,Vera
Santa Felicia,Vera
Toba,Vera
Allende,Vera
Cerrito,Vera
El 38,Vera
El 44,Vera
El Bonete,Vera
El Cincuenta,Vera
Paraje Kilometro 12,Vera
Paraje Km 12,Vera
Velazquez,Vera
Arroyo del Rey,Vera
El Tajamar,Vera
Florida,Vera
Kilometro 17,Vera
Km 17,Vera
Kilometro 30,Vera
Km 30,Vera
La Josefina,Vera
San Alberto,Vera
Tartagal,Vera
Calchaqui,Vera
Kilometro 213,Vera
Km 213,Vera
La Hosca,Vera
Los Galpones,Vera
